variant,epoch,train_loss,val_score_norm_rmse,lr,smiles_pretraining_loaded
graph_smiles_only,1,5.289092810366166,1.1240925788879395,0.00035,False
graph_smiles_only,2,4.25023218474463,1.061261534690857,0.00035,False
graph_smiles_only,3,4.080204259662728,1.011193871498108,0.00035,False
graph_smiles_only,4,3.325822654194857,0.744579017162323,0.00035,False
graph_smiles_only,5,2.742144043532966,0.6922149658203125,0.00035,False
graph_smiles_only,6,2.7478314157555865,0.6864897012710571,0.00035,False
graph_smiles_only,7,2.718101094530515,0.6690840125083923,0.00035,False
graph_smiles_only,8,2.435103814639346,0.6609658598899841,0.00035,False
graph_smiles_only,9,2.2846858732363318,0.6516003608703613,0.00035,False
graph_smiles_only,10,2.2093616730255605,0.6517971158027649,0.00035,False
graph_smiles_only,11,2.293495894726658,0.6421623826026917,0.00035,False
graph_smiles_only,12,2.1804772265918593,0.6525462865829468,0.00035,False
graph_smiles_only,13,2.08960332670761,0.6198879480361938,0.00035,False
graph_smiles_only,14,2.127411168283193,0.6364171504974365,0.00035,False
graph_smiles_only,15,2.132344268379411,0.6387247443199158,0.00035,False
graph_smiles_only,16,2.055965383015378,0.6332435011863708,0.00035,False
graph_smiles_only,17,1.960694779900356,0.6401562094688416,0.00035,False
graph_smiles_only,18,2.042506412685854,0.6325896978378296,0.00035,False
graph_smiles_only,19,2.094999093035753,0.6413875818252563,0.00035,False
graph_smiles_only,20,1.9929289568157096,0.6363059878349304,0.000175,False
graph_smiles_only,21,1.9261603573854056,0.6435924768447876,0.000175,False
graph_smiles_only,22,1.9484484932185469,0.6360329389572144,0.000175,False
graph_smiles_only,23,1.9250876054713864,0.6517057418823242,0.000175,False
graph_smiles_only,24,1.950047592842142,0.6594650745391846,0.000175,False
graph_smiles_only,25,1.8774102863841031,0.634268045425415,0.000175,False
graph_smiles_only,26,1.869279479481163,0.6228483319282532,0.000175,False
graph_smiles_only,27,1.8652431178467437,0.6592140197753906,8.75e-05,False
graph_smiles_only,28,1.7822084327018697,0.6228342652320862,8.75e-05,False
graph_smiles_only,29,1.7826555062338945,0.6209539175033569,8.75e-05,False
graph_smiles_only,30,1.8068158252076953,0.6308254599571228,8.75e-05,False
graph_smiles_only,31,1.7397733077953,0.6324318647384644,8.75e-05,False
graph_smiles_only,32,1.7001378704740115,0.6358901858329773,8.75e-05,False
graph_smiles_only,33,1.6801715552494787,0.6251164674758911,8.75e-05,False
