comparison_group,rank,candidate_id,name,SMILES,core,spacer,anchor,substituent,design_family,pred_pce,unc_pce,pce_lcb_2sigma,pce_ucb_2sigma,design_rule_match_4,design_rule_match_4_norm,design_rule_score,design_rule_score_norm,nearest_train_tanimoto,in_applicability_domain,is_existing_dataset_sam,delta_vs_outside_pred_pce,delta_vs_outside_lcb
Best virtual SAM,1,VSAM-0110,carbazole_C2_Th/F-Ph,O=P(O)(O)CCn1c2ccc(-c3ccc(F)cc3)cc2c2cc(-c3ccsc3)ccc21,carbazole,C2,phosphonic acid,Th/F-Ph,mixed-disubstituted carbazole,20.04738998413086,0.9137951488096597,18.21979968651154,21.87498028175018,4,1.0,5,1.0,0.6382978723404256,True,False,17.886611938476562,21.823398552104905
Outside-rule SAM,367,VSAM-0366,alkyl acid_C8_C8-chain,CCCCCCCCC(=O)O,alkyl acid,C8,carboxylic acid,C8-chain,negative-control acid,2.160778045654297,2.8821884556238317,-3.6035988655933666,7.92515495690196,0,0.0,0,0.0,0.4,True,False,17.886611938476562,21.823398552104905
