candidate_name,core,spacer,anchor,substituent,design_family,smiles,canonical_smiles,valid_smiles,candidate_id
carbazole_C2_di-Ph,carbazole,C2,phosphonic acid,di-Ph,aryl-extended carbazole,O=P(O)(O)CCn1c2ccc(c3ccccc3)cc2c2cc(c3ccccc3)ccc21,O=P(O)(O)CCn1c2ccc(-c3ccccc3)cc2c2cc(-c3ccccc3)ccc21,True,VSAM-0025
carbazole_C2_mono-Th-A,carbazole,C2,phosphonic acid,mono-Th-A,thiophene-extended carbazole,O=P(O)(O)CCn1c2ccc(c3ccsc3)cc2c2ccccc21,O=P(O)(O)CCn1c2ccccc2c2cc(-c3ccsc3)ccc21,True,VSAM-0026
carbazole_C2_mono-Th-B,carbazole,C2,phosphonic acid,mono-Th-B,thiophene-extended carbazole,O=P(O)(O)CCn1c2ccccc2c2ccc(c3ccsc3)cc21,O=P(O)(O)CCn1c2ccccc2c2ccc(-c3ccsc3)cc21,True,VSAM-0027
carbazole_C2_di-Th,carbazole,C2,phosphonic acid,di-Th,thiophene-extended carbazole,O=P(O)(O)CCn1c2ccc(c3ccsc3)cc2c2cc(c3ccsc3)ccc21,O=P(O)(O)CCn1c2ccc(-c3ccsc3)cc2c2cc(-c3ccsc3)ccc21,True,VSAM-0028
carbazole_C2_mono-Anisyl-A,carbazole,C2,phosphonic acid,mono-Anisyl-A,electron-rich aryl-carbazole,O=P(O)(O)CCn1c2ccc(c3ccc(OC)cc3)cc2c2ccccc21,COc1ccc(-c2ccc3c(c2)c2ccccc2n3CCP(=O)(O)O)cc1,True,VSAM-0029
carbazole_C2_mono-Anisyl-B,carbazole,C2,phosphonic acid,mono-Anisyl-B,electron-rich aryl-carbazole,O=P(O)(O)CCn1c2ccccc2c2ccc(c3ccc(OC)cc3)cc21,COc1ccc(-c2ccc3c4ccccc4n(CCP(=O)(O)O)c3c2)cc1,True,VSAM-0030
carbazole_C2_di-Anisyl,carbazole,C2,phosphonic acid,di-Anisyl,electron-rich aryl-carbazole,O=P(O)(O)CCn1c2ccc(c3ccc(OC)cc3)cc2c2cc(c3ccc(OC)cc3)ccc21,COc1ccc(-c2ccc3c(c2)c2cc(-c4ccc(OC)cc4)ccc2n3CCP(=O)(O)O)cc1,True,VSAM-0031
carbazole_C2_mono-F-Ph-A,carbazole,C2,phosphonic acid,mono-F-Ph-A,halogenated aryl-carbazole,O=P(O)(O)CCn1c2ccc(c3ccc(F)cc3)cc2c2ccccc21,O=P(O)(O)CCn1c2ccccc2c2cc(-c3ccc(F)cc3)ccc21,True,VSAM-0032
carbazole_C2_mono-F-Ph-B,carbazole,C2,phosphonic acid,mono-F-Ph-B,halogenated aryl-carbazole,O=P(O)(O)CCn1c2ccccc2c2ccc(c3ccc(F)cc3)cc21,O=P(O)(O)CCn1c2ccccc2c2ccc(-c3ccc(F)cc3)cc21,True,VSAM-0033
carbazole_C2_di-F-Ph,carbazole,C2,phosphonic acid,di-F-Ph,halogenated aryl-carbazole,O=P(O)(O)CCn1c2ccc(c3ccc(F)cc3)cc2c2cc(c3ccc(F)cc3)ccc21,O=P(O)(O)CCn1c2ccc(-c3ccc(F)cc3)cc2c2cc(-c3ccc(F)cc3)ccc21,True,VSAM-0034
carbazole_C2_mono-Cl-Ph-A,carbazole,C2,phosphonic acid,mono-Cl-Ph-A,halogenated aryl-carbazole,O=P(O)(O)CCn1c2ccc(c3ccc(Cl)cc3)cc2c2ccccc21,O=P(O)(O)CCn1c2ccccc2c2cc(-c3ccc(Cl)cc3)ccc21,True,VSAM-0035
carbazole_C2_mono-Cl-Ph-B,carbazole,C2,phosphonic acid,mono-Cl-Ph-B,halogenated aryl-carbazole,O=P(O)(O)CCn1c2ccccc2c2ccc(c3ccc(Cl)cc3)cc21,O=P(O)(O)CCn1c2ccccc2c2ccc(-c3ccc(Cl)cc3)cc21,True,VSAM-0036
carbazole_C2_di-Cl-Ph,carbazole,C2,phosphonic acid,di-Cl-Ph,halogenated aryl-carbazole,O=P(O)(O)CCn1c2ccc(c3ccc(Cl)cc3)cc2c2cc(c3ccc(Cl)cc3)ccc21,O=P(O)(O)CCn1c2ccc(-c3ccc(Cl)cc3)cc2c2cc(-c3ccc(Cl)cc3)ccc21,True,VSAM-0037
carbazole_C2_mono-Me-Ph-A,carbazole,C2,phosphonic acid,mono-Me-Ph-A,alkylaryl carbazole,O=P(O)(O)CCn1c2ccc(c3ccc(C)cc3)cc2c2ccccc21,Cc1ccc(-c2ccc3c(c2)c2ccccc2n3CCP(=O)(O)O)cc1,True,VSAM-0038
