epoch,pretrain_loss
1,3.16534311372097
2,2.4725296150375526
3,2.34348543650062
4,2.283197746692657
5,2.2284101110299077
6,2.1665598094191183
7,2.1236485157681595
8,2.1106452513450478
9,2.0662721735438327
10,2.0514698546560335
11,2.026333805720714
12,2.001187189704523
13,1.9891443153354096
14,1.9592213916012984
15,1.93840339582752
16,1.8954322379192734
17,1.8446019576248707
18,1.7871137380178554
19,1.7600296710302736
20,1.7111600989497522
21,1.6613772791814587
22,1.6388794721042061
23,1.579013647782397
24,1.5485518451712588
25,1.518741578833838
26,1.4874008331194877
27,1.4510146751023125
28,1.4178497885934276
29,1.408462832928898
30,1.3601240101575605
31,1.3391164749145228
32,1.3466044055957263
33,1.301727250462025
34,1.270221658510845
35,1.2307321864105778
36,1.208308289408912
37,1.1906603608290847
38,1.1753729196935607
39,1.1409601829315008
40,1.1346571697088172
