epoch,train_loss,val_score_norm_rmse,val_rmse_raw_mean,lr,val_pce_rmse,val_pce_mae,val_pce_r2,val_pce_spearman,val_voc_rmse,val_voc_mae,val_voc_r2,val_voc_spearman,val_jsc_rmse,val_jsc_mae,val_jsc_r2,val_jsc_spearman,val_ff_rmse,val_ff_mae,val_ff_r2,val_ff_spearman
1,1.1962363034652033,1.0227899551391602,3.9364856649190187,0.00035,4.372055530548096,3.2875823974609375,0.015805542469024658,0.5720584598371474,0.07309729605913162,0.04207941144704819,0.032076239585876465,0.3615204423012361,4.851703643798828,2.446587324142456,0.0995873212814331,0.6230455901270794,6.4490861892700195,4.920546054840088,0.021795570850372314,0.48352738365168574
2,1.0553273164741213,0.8401472568511963,3.1201636288315058,0.00035,3.4272661209106445,2.5200343132019043,0.39520907402038574,0.5079519688061374,0.06894544512033463,0.04044586047530174,0.138907790184021,0.3186414129684854,3.308464288711548,2.3436615467071533,0.5812971591949463,0.6025971067595904,5.675978660583496,4.705252647399902,0.24226951599121094,0.48200322570702503
3,0.7341060565712271,0.6712466478347778,2.46830593328923,0.00035,2.591594934463501,1.850130319595337,0.6541849970817566,0.5761283265351087,0.05522341653704643,0.03673647716641426,0.44756007194519043,0.4175307343114219,2.9560763835906982,1.584825873374939,0.6657400131225586,0.536690613061967,4.270328998565674,3.454245090484619,0.571100115776062,0.5424419503587579
4,0.6599193410379829,0.6929179430007935,2.486751620657742,0.00035,2.488166093826294,1.865497350692749,0.6812366247177124,0.37414340977591354,0.059496182948350906,0.03979447856545448,0.35876572132110596,0.3781721507366967,3.1060101985931396,1.7504465579986572,0.6309723854064941,0.2246284657995142,4.293334007263184,3.528324842453003,0.5664665699005127,0.4439956748110258
5,0.5884965398174998,0.6593165993690491,2.4853880908340216,0.00035,2.5323126316070557,2.079982042312622,0.6698249578475952,0.36885794793914983,0.05507083982229233,0.03719427436590195,0.450608491897583,0.39246159431810945,2.391021251678467,1.5330458879470825,0.781314492225647,0.28604426618879575,4.9631476402282715,4.223276615142822,0.42064112424850464,0.4529973275909461
6,0.6750379920336324,0.6239195466041565,2.212202014401555,0.00035,2.306333065032959,1.813073754310608,0.7261242270469666,0.32895825368176806,0.056451328098773956,0.03694385290145874,0.42271947860717773,0.3923850867520245,2.222201108932495,1.3885341882705688,0.8111053109169006,0.3923552746136938,4.263822555541992,3.428694248199463,0.5724060535430908,0.3685494141683199
7,0.564365359694592,0.6810733675956726,2.4695771569386125,0.00035,2.427072525024414,1.8293708562850952,0.6966981291770935,0.2946414524654827,0.05946764722466469,0.04151367396116257,0.35938066244125366,0.2705990631906306,2.7873945236206055,1.6562420129776,0.7027992010116577,0.16704675604163688,4.604373931884766,3.8037116527557373,0.5013746023178101,0.3295874312409675
8,0.5497032811868654,0.6363885402679443,2.299447297118604,0.00035,2.2626218795776367,1.7331860065460205,0.7364071607589722,0.3825145051187313,0.05578326806426048,0.037002287805080414,0.4363020658493042,0.38900142378202157,2.6068549156188965,1.8141247034072876,0.7400518655776978,0.18105818816557565,4.272529125213623,3.467439651489258,0.5706580877304077,0.2814491390611463
9,0.5317426863197038,0.6281779408454895,2.2625541193410754,0.00035,2.334529161453247,1.8542028665542603,0.7193866968154907,0.3987642784312601,0.05603412911295891,0.038521699607372284,0.4312207102775574,0.39985809660613386,2.1908493041992188,1.3649718761444092,0.8163977265357971,0.26247692010585266,4.468803882598877,3.68861722946167,0.5303050875663757,0.3346171524583474
10,0.5333556062412791,0.6333714723587036,2.264175746589899,0.00035,2.3577733039855957,1.8943164348602295,0.7137709856033325,0.43174704977143735,0.05631197988986969,0.03670407459139824,0.4255659580230713,0.4211876720736314,2.385737419128418,1.6070804595947266,0.7822799682617188,0.4369130181190722,4.256880283355713,3.4991416931152344,0.573797345161438,0.4720610261910853
