target,calibration_split,n,uncertainty_scale,raw_mean_uncertainty,calibrated_mean_uncertainty,calibration_mae,raw_coverage_1sigma,calibrated_coverage_1sigma,raw_coverage_2sigma,calibrated_coverage_2sigma
pce,val,80,3.107828896079146,0.39533035811036826,1.228619110432719,0.8537419148445128,0.2875,0.7,0.55,0.95
voc,val,80,4.217273164065846,0.007649691426195204,0.03226083836507762,0.023484756826162346,0.1875,0.7875,0.3125,0.925
jsc,val,80,2.827937049526454,0.475130651332438,1.343639572268637,0.9452732089233397,0.3375,0.6375,0.525,0.9625
ff,val,80,4.073341093243192,0.811110396683216,3.30392930996653,2.0172903118133543,0.275,0.8375,0.525,0.9625
