name,SMILES,doi,pce,voc,jsc,ff,pce_from_voc_jsc_ff,pce_abs_error,target_flag
Cl-2PACz,ClC1=CC2=C(N(CCP(O)(O)=O)C3=C2C=C(Cl)C=C3)C=C1,10.1002/aenm.202303354,18.17,0.84,28.42,76.0,18.143328,0.02667200000000136,False
"4,5-Cl-2PACz",O=P(O)(O)CCn1c2cccc(Cl)c2c2c(Cl)cccc21,10.1002/aenm.202303354,18.67,0.842,28.69,77.17,18.641941466000002,0.02805853399999947,False
MeO-2PACz,COc1ccc2c(c1)c1cc(OC)ccc1n2CCP(=O)(O)O,10.1002/cssc.202100707,14.5,0.776,26.21,71.3,14.50167848,0.0016784800000007039,False
BCBBr-C4PA,OP(CCCCN1C2=C(C(C=CC=C3)=C3C=C2)C4=C1C=CC(Br)=C4)(O)=O,10.1002/aenm.202300694,18.84,0.861,27.6,79.3,18.844534799999998,0.004534799999998285,False
BCBBr-C4PA,OP(CCCCN1C2=C(C(C=CC=C3)=C3C=C2)C4=C1C=CC(Br)=C4)(O)=O,10.1002/aenm.202300694,16.78,0.849,26.15,75.58,16.779780329999998,0.00021967000000344683,False
BCBBr-C4PA,OP(CCCCN1C2=C(C(C=CC=C3)=C3C=C2)C4=C1C=CC(Br)=C4)(O)=O,10.1002/aenm.202300694,17.48,0.85,27.15,75.77,17.48582175,0.005821749999999071,False
BCBBr-C4PA,OP(CCCCN1C2=C(C(C=CC=C3)=C3C=C2)C4=C1C=CC(Br)=C4)(O)=O,10.1002/aenm.202300694,16.33,0.851,26.3,72.96,16.32939648,0.0006035199999985252,False
CBSA,O=S(=O)(O)c1ccc(Cl)cc1,10.1002/adma.201600197,7.6,0.787,15.796,61.2,7.608048624,0.008048624000000615,False
Cbz-2Ph,O=P(O)(O)CCCCn1c2ccc(-c3ccccc3)cc2c2cc(-c3ccccc3)ccc21,10.1039/D4EE04479G,17.12,0.846,27.86,72.64,17.120928384,0.0009283839999980614,False
Cbz-2Ph,O=P(O)(O)CCCCn1c2ccc(-c3ccccc3)cc2c2cc(-c3ccccc3)ccc21,10.1039/D4EE04479G,18.89,0.859,28.62,76.83,18.888332813999998,0.0016671860000023742,False
Cbz-2Ph,O=P(O)(O)CCCCn1c2ccc(-c3ccccc3)cc2c2cc(-c3ccccc3)ccc21,10.1039/D4EE04479G,18.65,0.855,28.23,77.3,18.65763045,0.0076304500000006215,False
