name,SMILES,doi,pce,voc,jsc,ff,pce_from_voc_jsc_ff,pce_abs_error,target_flag
3-BPIC(i),O=P(O)(O)CCCn1c2ccccc2c2cc3c(cc21)c1ccccc1n3CCCP(=O)(O)O,10.1021/jacs.4c03917,13.54,0.692,27.68,70.71,13.544189375999999,0.004189375999999356,False
3-BPIC-F,O=P(O)(O)CCCn1c2ccc(F)cc2c2ccc3c4cc(F)ccc4n(CCCP(=O)(O)O)c3c21,10.1021/jacs.4c03917,19.71,0.872,28.12,80.43,19.721950752,0.01195075200000062,False
3-BPIC-F,O=P(O)(O)CCCn1c2ccc(F)cc2c2ccc3c4cc(F)ccc4n(CCCP(=O)(O)O)c3c21,10.1021/jacs.4c03917,17.25,0.871,26.53,74.63,17.245224269,0.0047757309999987285,False
3-BPIC-F,O=P(O)(O)CCCn1c2ccc(F)cc2c2ccc3c4cc(F)ccc4n(CCCP(=O)(O)O)c3c21,10.1021/jacs.4c03917,18.87,0.906,25.93,80.36,18.878637288,0.008637287999999188,False
3-BPIC-F,O=P(O)(O)CCCn1c2ccc(F)cc2c2ccc3c4cc(F)ccc4n(CCCP(=O)(O)O)c3c21,10.1021/jacs.4c03917,18.46,0.861,27.0,79.43,18.465092100000003,0.005092100000002375,False
3-BPIC-F,O=P(O)(O)CCCn1c2ccc(F)cc2c2ccc3c4cc(F)ccc4n(CCCP(=O)(O)O)c3c21,10.1021/jacs.4c03917,19.24,0.887,27.28,79.55,19.24899988,0.00899988000000107,False
3-BPIC-F,O=P(O)(O)CCCn1c2ccc(F)cc2c2ccc3c4cc(F)ccc4n(CCCP(=O)(O)O)c3c21,10.1021/jacs.4c03917,19.2,0.868,27.74,79.77,19.207275864,0.007275864000000354,False
4PADCB,C1=CC=C2C(=C1)C=CC3=C2C4=C(N3CCCCP(=O)(O)O)C=CC5=CC=CC=C54,10.1021/jacs.5c05341,16.46,0.862,26.82,71.2,16.46061408,0.000614079999998296,False
4PADCB,C1=CC=C2C(=C1)C=CC3=C2C4=C(N3CCCCP(=O)(O)O)C=CC5=CC=CC=C54,10.1021/jacs.5c05341,17.18,0.852,26.34,76.54,17.176861872,0.0031381279999997957,False
4PADCB,C1=CC=C2C(=C1)C=CC3=C2C4=C(N3CCCCP(=O)(O)O)C=CC5=CC=CC=C54,10.1021/jacs.5c05341,18.12,0.88,26.74,77.05,18.1307896,0.010789599999998956,False
2PACz,O=P(O)(O)CCn1c2ccccc2c2ccccc21,10.1021/jacs.5c08124,18.0,0.843,27.42,77.89,18.004320233999998,0.0043202339999979245,False
Th-Cz,O=P(O)(O)CCn1c2ccc(-c3cccs3)cc2c2cc(-c3cccs3)ccc21,10.1021/jacs.5c08124,19.34,0.864,27.83,80.42,19.337085504,0.002914495999998934,False
Th-Cz,O=P(O)(O)CCn1c2ccc(-c3cccs3)cc2c2cc(-c3cccs3)ccc21,10.1021/jacs.5c08124,18.25,0.847,27.42,78.55,18.24303327,0.006966729999998478,False
Ph-Cz,O=P(O)(O)CCn1c2ccc(-c3ccccc3)cc2c2cc(-c3ccccc3)ccc21,10.1021/jacs.5c08124,18.51,0.858,27.59,78.21,18.514043261999998,0.004043261999996162,False
m-PhPACz,COc1cccc(-c2ccc3c(c2)c2ccc(-c4cccc(OC)c4)cc2n3CCP(=O)(O)O)c1,10.1021/jacs.5c08124,19.09,0.858,27.95,79.55,19.07696505,0.013034950000001544,False
2PACz,O=P(O)(O)CCn1c2ccccc2c2ccccc21,10.1021/jacs.5c08124,18.18,0.891,26.65,76.51,18.167414265,0.012585734999998266,False
Th-Cz,O=P(O)(O)CCn1c2ccc(-c3cccs3)cc2c2cc(-c3cccs3)ccc21,10.1021/jacs.5c08124,18.93,0.894,26.73,79.26,18.940461012000004,0.010461012000003933,False
2PACz,O=P(O)(O)CCn1c2ccccc2c2ccccc21,10.1021/jacs.5c08124,18.38,0.857,27.95,76.69,18.369670734999996,0.010329265000002863,False
