target,mae,rmse,r2,spearman,split
pce,0.821001410484314,1.3087631464004517,0.8911746740341187,0.8396488407545961,train
voc,0.015276600606739521,0.022098027169704437,0.8961919546127319,0.751130721629145,train
jsc,0.9831948280334473,1.7270201444625854,0.8550810813903809,0.7282634098698688,train
ff,1.7342158555984497,2.321054697036743,0.9105761051177979,0.8794670236068427,train
pce,0.8537420034408569,1.1223865747451782,0.9351373910903931,0.7772894035303366,val
voc,0.02348475530743599,0.03438672423362732,0.7857996821403503,0.7564878976931513,val
jsc,0.945273220539093,1.4553691148757935,0.9189786911010742,0.47596441520971877,val
ff,2.0172905921936035,2.854830026626587,0.8083125352859497,0.8397086151012283,val
pce,1.0509214401245117,1.5928173065185547,0.8917546272277832,0.757867703238384,test
voc,0.02439878135919571,0.03658516705036163,0.8299619555473328,0.829548307226927,test
jsc,1.179090976715088,2.1580989360809326,0.8517499566078186,0.5845429155767264,test
ff,2.4413795471191406,3.2550363540649414,0.8311545848846436,0.6978765381809953,test
