name,SMILES,pce_mean,record_count,PC1,PC2,doi
BrPZPA,O=P(O)(O)CCCCN1c2cc(Br)ccc2Sc2ccc(Br)cc21,18.15,2,-0.5223767520564966,2.923944190100128,10.1016/j.mtener.2026.102195
PZPA,O=P(O)(O)CCCCN1c2ccccc2Sc2ccccc21,18.95,2,-1.3724051231127221,2.0287707158265773,10.1016/j.mtener.2026.102195
NBA,O=C(O)c1ccc([N+](=O)[O-])cc1,3.757,2,-11.158559634776925,-5.433170502057644,10.1016/j.solener.2022.05.002
C8-BA,CCCCCCCCB(O)O,3.068,1,-11.513965697756909,3.764207918593381,10.1016/j.mee.2020.111394
C10-BA,CCCCCCCCCCB(O)O,3.382,1,-11.105711711392408,5.30440527683505,10.1016/j.mee.2020.111394
C12-BA,CCCCCCCCCCCCB(O)O,3.434,1,-10.741396775012948,6.750784273744043,10.1016/j.mee.2020.111394
MNA,COc1ccc(N(c2ccc(-c3ccc(C(=O)O)cc3)cc2)c2ccc3ccccc3c2)cc1,6.87,4,-3.7535740873795205,0.46826046762691914,10.1016/j.jscs.2022.101575
TDPA-Cl,O=P(O)(O)CCCCN1c2ccc(Cl)cc2Sc2cc(Cl)ccc21,17.35,2,-1.511542526342297,3.095445319709137,10.1021/acs.langmuir.3c03610
F-4PACz,O=P(O)(O)CCCCn1c2ccc(F)cc2c2ccc(F)cc21,14.116666666666667,6,1.8360329986617863,0.5366801040895153,10.1021/acsaem.3c02946
Cz-Cl-4,O=P(O)(O)CCCCn1c2ccc(Cl)cc2c2ccc(Cl)cc21,14.3,1,1.5554785674256715,-0.9179892492588343,10.1021/acsaem.3c02946
Cz-Br-4,O=P(O)(O)CCCCn1c2ccc(Br)cc2c2ccc(Br)cc21,15.4,1,2.919162223072189,-1.541941261766709,10.1021/acsaem.3c02946
Cz-I-2,O=P(O)(O)CCn1c2ccc(I)cc2c2ccc(I)cc21,17.85,2,2.378352622846868,-2.121891058542635,10.1021/acsaem.3c02946
Cz-I-3,O=P(O)(O)CCCn1c2ccc(I)cc2c2ccc(I)cc21,17.3,1,2.812421715163039,-1.4495772553658248,10.1021/acsaem.3c02946
Cz-I-4,O=P(O)(O)CCCCn1c2ccc(I)cc2c2ccc(I)cc21,16.0,1,2.993697446835873,-0.8063127502586794,10.1021/acsaem.3c02946
3PACz,C1=CC=C2C(=C1)C3=CC=CC=C3N2CCCP(=O)(O)O,16.7,4,1.4706343548660197,-2.6662688608826217,10.1021/acsami.2c01900
pPhPADCB,O=P(O)(O)c1ccc(-n2c3cc4ccccc4cc3c3c4ccccc4ccc32)cc1,17.4425,4,1.8708857811507156,-1.845225853819597,10.1021/acsami.6c00619
3-CBA,O=C(O)c1cccc(Cl)c1,8.2,1,-12.453969668094302,-6.379717106724982,10.1021/acsami.7b00850
2-CBA,O=C(O)c1ccccc1Cl,7.4,1,-11.78999851695249,-5.987059906651684,10.1021/acsami.7b00850
"3,4-CBA",O=C(O)c1cc(Cl)c(Cl)cc1,8.7,1,-12.328281471153032,-4.8822763558005615,10.1021/acsami.7b00850
"2,3,4,5-CBA",O=C(O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1,9.1,1,-11.338611198715157,-3.117832103720435,10.1021/acsami.7b00850
1F-2PACz,O=P(O)(O)CCn1c2ccccc2c2ccc(F)cc21,17.62,1,1.231951276562347,-2.3132743044152213,10.1021/acsenergylett.5c02585
1Cl-2PACz,O=P(O)(O)CCn1c2ccccc2c2ccc(Cl)cc21,19.575000000000003,2,0.8509966338086078,-3.389157431642657,10.1021/acsenergylett.5c02585
2-Br-2PACz,O=P(O)(O)CCn1c2ccccc2c2ccc(Br)cc21,19.515,2,1.8684630780358544,-3.9576438502253293,10.1021/acsenergylett.5c02585
1I-2PACz,O=P(O)(O)CCn1c2ccccc2c2ccc(I)cc21,18.72,1,2.0831618405961247,-3.3700334945453068,10.1021/acsenergylett.5c02585
1CF3-2PACz,O=P(O)(O)CCn1c2ccccc2c2ccc(C(F)(F)F)cc21,17.39,1,0.8737082077510256,-0.11208122135259677,10.1021/acsenergylett.5c02585
"2,6-diCl-2PACz",O=P(O)(O)CCn1c2ccc(Cl)cc2c2ccc(Cl)cc21,17.36,1,0.6524422408704932,-2.443072461049313,10.1021/acsenergylett.5c02585
3-BPIC-F,O=P(O)(O)CCCn1c2ccc(F)cc2c2ccc3c4cc(F)ccc4n(CCCP(=O)(O)O)c3c21,18.65,8,7.606070165216421,4.659780208311583,10.1021/acssuschemeng.6c01237
DB-Br,O=P(O)(O)CCCCn1c2ccc(Br)cc2c2cc(Br)ccc21,17.62,2,2.498334657152719,-1.0913116109139347,10.1021/acssuschemeng.6c01237
C3F4PAPTSi,Cl[Si](Cl)(Cl)CCCN(c1cc(F)c(F)cc1)c1cc(F)c(F)cc1,6.25,1,-8.190140877689272,10.681306002187005,10.1021/ja508453n
C6F4PAPTSi,Cl[Si](Cl)(Cl)CCCCCCN(c1cc(F)c(F)cc1)c1cc(F)c(F)cc1,5.3,1,-7.95087681103734,13.0398895237273,10.1021/ja508453n
C10F4PAPTSi,Cl[Si](Cl)(Cl)CCCCCCCCCCN(c1cc(F)c(F)cc1)c1cc(F)c(F)cc1,4.95,1,-7.2306557094984525,15.411012903590292,10.1021/ja508453n
C18F4PAPTSi,Cl[Si](Cl)(Cl)CCCCCCCCCCCCCCCCCCN(c1cc(F)c(F)cc1)c1cc(F)c(F)cc1,3.79,1,-6.324581699745165,19.994746213398365,10.1021/ja508453n
3-BPIC(i),O=P(O)(O)CCCn1c2ccccc2c2cc3c(cc21)c1ccccc1n3CCCP(=O)(O)O,13.54,1,8.585405284599952,1.4885192368479285,10.1021/jacs.4c03917
Th-Cz,O=P(O)(O)CCn1c2ccc(-c3cccs3)cc2c2cc(-c3cccs3)ccc21,19.571428571428573,7,4.6188617788381015,-0.4495186221408803,10.1021/jacs.5c08124
Ph-Cz,O=P(O)(O)CCn1c2ccc(-c3ccccc3)cc2c2cc(-c3ccccc3)ccc21,18.51,1,4.9012644833178305,-0.463225935590927,10.1021/jacs.5c08124
m-PhPACz,COc1cccc(-c2ccc3c(c2)c2ccc(-c4cccc(OC)c4)cc2n3CCP(=O)(O)O)c1,19.09,1,6.852355380060282,0.21260722240607513,10.1021/jacs.5c08124
MeO-4PACz,COc1ccc2c(c1)c1ccc(OC)cc1n2CCCCP(=O)(O)O,14.68,1,3.323529552173452,-1.0742434724040837,10.31635/ccschem.024.202404707
MeOF-4PACz,COc1ccc2c3cc(F)ccc3n(CCCCP(=O)(O)O)c2c1,18.99,3,2.585454820395635,-0.2843192223325141,10.31635/ccschem.024.202404707
CBZC4,CC(C)(C)c1ccc2c(c1)c1ccc(C(C)(C)C)cc1n2CCCCP(=O)(O)O,16.2,1,3.408622857454867,1.1062329805326216,10.1039/d4ta09141h
CBZC2,CC(C)(C)c1ccc2c(c1)c1ccc(C(C)(C)C)cc1n2CCP(=O)(O)O,16.4,1,2.8323302246721567,-0.13767553427636128,10.1039/d4ta09141h
6C2A,C1(C(C2(C(=C(C1(C2(Cl)Cl)Cl)Cl)Cl)Cl)C(=O)O)C(=O)O,17.2,2,-10.158332935072382,6.241345598487092,10.11777/j.issn1000-3304.2024.24312
3FMBPA,O=P(O)(O)Cc1ccc(C(F)(F)F)cc1,3.82,1,-6.472233220612861,0.5136512249686287,10.1063/1.4916182
BrDECz,COc1ccc(-c2ccc3c4cc(Br)ccc4n(CCP(=O)(O)O)c3c2)cc1OC,18.060000000000002,4,5.355847609061976,-0.868251695325851,10.1039/d4ee04515g
DECz,COc1ccc(-c2ccc3c(c2)c2ccc(-c4ccc(OC)c(OC)c4)cc2n3CCP(=O)(O)O)cc1OC,17.4525,4,7.4609867270480015,2.182337611110666,10.1039/d4ee04515g
C3-SAM,NCCC(=O)O,3.04,1,-12.85427271695289,-5.570541681621156,10.1088/1674-1056/27/7/078802
FOPA,O=P(O)(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3.4,1,-8.013158934752237,15.782105941133937,10.1039/b823148f
BBA,O=C(O)c1ccc(Br)cc1,2.21,2,-11.732701900359586,-6.397314341315904,10.1039/c1ee00005e
PPA,O=P(O)(O)c1ccccc1,1.64,1,-7.749961189587788,-4.6733192443114735,10.1039/c1ee00005e
BPA,O=P(O)(O)c1ccc(Br)cc1,2.7,1,-7.4348350360699795,-4.463871659017699,10.1039/c1ee00005e
CPA,O=P(O)(O)c1ccc(Cl)cc1,2.6,1,-8.3251852276862,-3.7022339525861985,10.1039/c1ee00005e
