name,canonical_smiles,pce_mean,pce_group,record_count,PC1,PC2
BA,O=C(O)c1ccccc1,3.3699999999999997,low,3,-2.951691275803006,-0.019897555757686813
2-CBA,O=C(O)c1ccccc1Cl,7.4,low,1,-2.983235096108193,0.06195436400265274
FOPA,O=P(O)(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3.4,low,1,-2.28633418333935,-0.5132148849536198
F8-SAM,O=P(O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2.61,low,1,-1.8056180066603809,-0.42698366014976846
2Cl-5PACz,O=P(O)(O)CCCCCn1c2ccc(Cl)cc2c2cc(Cl)ccc21,12.556666666666667,middle,3,0.7668038246603249,1.3352402633446074
BrPZPA,O=P(O)(O)CCCCN1c2cc(Br)ccc2Sc2ccc(Br)cc21,18.15,middle,2,-0.6463485661010809,2.118721715096981
TDPA-Cl,O=P(O)(O)CCCCN1c2ccc(Cl)cc2Sc2cc(Cl)ccc21,17.35,middle,2,-0.913353658367562,2.003809742207989
TDPA‑Cl,O=P(O)(O)CCCCN1c2ccc(Cl)cc2Sc2ccc(Cl)cc21,17.35,middle,2,-0.9719911053437212,2.1304943932874156
4PA-SAcF,O=P(O)(O)CCCCN1c2ccccc2C2(c3ccccc3-c3ccccc32)c2ccccc21,19.290000000000003,high,6,-0.7272496087687744,2.0680768590354317
PZPA,O=P(O)(O)CCCCN1c2ccccc2Sc2ccccc21,18.95,high,2,-0.8153579634332729,2.227354236078481
JJ32,O=P(O)(O)CCCCN1c2ccccc2Sc2nc3ccccc3nc21,19.21666666666667,high,6,-0.7485982882662378,2.364294623734209
pCl-ph,O=P(O)(O)CCCCn1c2cc(-c3ccc(Cl)cc3)ccc2c2ccc(-c3ccc(Cl)cc3)cc21,14.14875,middle,8,1.0561803454217533,0.7101760934703667
N2-PACz,O=P(O)(O)CCCCn1c2cc(-c3ccc4ccccc4c3)ccc2c2ccc(-c3ccc4ccccc4c3)cc21,19.0,high,1,1.5218688950774009,1.0577357177740108
mCl-ph,O=P(O)(O)CCCCn1c2cc(-c3cccc(Cl)c3)ccc2c2ccc(-c3cccc(Cl)c3)cc21,17.6625,middle,8,1.159095094617424,0.8189336783020336
N1-PACz,O=P(O)(O)CCCCn1c2cc(-c3cccc4ccccc34)ccc2c2ccc(-c3cccc4ccccc34)cc21,20.0,high,1,1.5208258157850705,1.1574392620963527
JJ36,O=P(O)(O)CCCCn1c2cc(-c3ccccc3)ccc2c2ccc(-c3ccccc3)cc21,16.990000000000002,middle,13,1.3332204387210134,0.793005861033482
4PAThCz,O=P(O)(O)CCCCn1c2cc(-c3ccsc3)ccc2c2ccc(-c3ccsc3)cc21,20.285,high,2,1.3102989753401377,0.6762803618533126
JJ25,O=P(O)(O)CCCCn1c2cc(Br)c3ccccc3c2c2c3ccccc3c(Br)cc21,16.35857142857143,middle,7,0.8217079797154808,1.753843966379483
3-BPIC,O=P(O)(O)CCCCn1c2cc3c(cc2F)c2cc4c(c-3c(c3c2ccc2c3c3ccccc3n2CCCCP(=O)(O)O)n4CCCCP(=O)(O)O)c2ccccc21,16.439999999999998,middle,2,1.452969820919823,1.2971971715862693
4DBCP,O=P(O)(O)CCCCn1c2cc3ccccc3cc2c2cc3ccccc3cc21,19.0,high,1,1.075962475464598,1.504371245796183
Cbz-2Ph,O=P(O)(O)CCCCn1c2ccc(-c3ccccc3)cc2c2cc(-c3ccccc3)ccc21,18.58818181818182,high,22,1.2716616522388133,1.1327342471338155
BCBBr-C4PA,O=P(O)(O)CCCCn1c2ccc(Br)cc2c2c3ccccc3ccc21,17.3575,middle,4,1.4121194677429458,1.9964326303993885
DB-Br,O=P(O)(O)CCCCn1c2ccc(Br)cc2c2cc(Br)ccc21,17.62,middle,2,1.2304298233037474,1.4453786845640249
Cz-Br-4,O=P(O)(O)CCCCn1c2ccc(Br)cc2c2ccc(Br)cc21,15.4,middle,1,1.7505416726994638,1.066423899629492
BrBACz,O=P(O)(O)CCCCn1c2ccc(Br)cc2c2ccc3ccccc3c21,19.215,high,4,1.463496097977163,1.8932575447138127
2Cl-4PACz,O=P(O)(O)CCCCn1c2ccc(Cl)cc2c2cc(Cl)ccc21,14.719999999999999,middle,3,0.8223118777767332,1.3154548903934205
Cz-Cl-4,O=P(O)(O)CCCCn1c2ccc(Cl)cc2c2ccc(Cl)cc21,14.3,middle,1,1.3343686023039016,0.9260223119696891
F-4PACz,O=P(O)(O)CCCCn1c2ccc(F)cc2c2ccc(F)cc21,14.116666666666667,middle,6,1.5259012300326036,0.7376454068161461
Cz-I-4,O=P(O)(O)CCCCn1c2ccc(I)cc2c2ccc(I)cc21,16.0,middle,1,1.6299102701610226,0.7296990920111985
JJ26,O=P(O)(O)CCCCn1c2ccc3cc(Br)ccc3c2c2c3ccc(Br)cc3ccc21,19.05,high,3,1.0695832868864537,1.6499837269820672
4PADCB,O=P(O)(O)CCCCn1c2ccc3ccccc3c2c2c3ccccc3ccc21,17.547222222222224,middle,18,0.8514956958428305,1.904033576513994
P-4PACz,O=P(O)(O)CCCCn1c2ccccc2c2cc(-c3ccccc3)ccc21,18.114,middle,5,1.5968905109980283,1.0164820658954916
4BCP,O=P(O)(O)CCCCn1c2ccccc2c2cc3ccccc3cc21,18.54,high,5,1.594893179022461,1.3633086396044782
ThBr-4PACz,O=P(O)(O)CCCCn1c2ccccc2c2ccc(-c3csc(Br)c3)cc21,19.5,high,1,1.8117970031421236,1.0431808740035153
2-Br-4PACz,O=P(O)(O)CCCCn1c2ccccc2c2ccc(Br)cc21,18.56,high,1,1.6809322871505017,1.2510264502029327
4PACz,O=P(O)(O)CCCCn1c2ccccc2c2ccccc21,16.703,middle,10,1.060569244513148,1.337955878830006
3DBCP,O=P(O)(O)CCCn1c2cc3ccccc3cc2c2cc3ccccc3cc21,18.0,middle,1,1.0471158131908964,0.9503039505519097
Ph-3PACz,O=P(O)(O)CCCn1c2ccc(-c3ccccc3)cc2c2cc(-c3ccccc3)ccc21,18.46666666666667,high,3,1.242814989965111,0.5786669518895424
2Cl-3PACz,O=P(O)(O)CCCn1c2ccc(Cl)cc2c2cc(Cl)ccc21,15.363333333333335,middle,3,0.7934652155030313,0.7613875951491476
3-BPIC-F,O=P(O)(O)CCCn1c2ccc(F)cc2c2ccc3c4cc(F)ccc4n(CCCP(=O)(O)O)c3c21,18.65,high,8,0.9479703256073357,0.5442526563652366
Cz-I-3,O=P(O)(O)CCCn1c2ccc(I)cc2c2ccc(I)cc21,17.3,middle,1,1.601063607887321,0.1756317967669252
Bz-3PACz,O=P(O)(O)CCCn1c2ccc3ccccc3c2c2c3ccccc3ccc21,18.4,high,1,0.8226490335691287,1.349966281269721
3-BPIC(i),O=P(O)(O)CCCn1c2ccccc2c2cc3c(cc21)c1ccccc1n3CCCP(=O)(O)O,13.54,middle,1,1.4743586711609338,0.6096405232812123
Ph-DIBCz,O=P(O)(O)CCCn1c2ccccc2c2cc3c4ccccc4n(-c4ccccc4)c3cc21,18.226666666666663,middle,3,1.3435040670206355,0.494921038666639
3BCP,O=P(O)(O)CCCn1c2ccccc2c2cc3ccccc3cc21,19.2,high,1,1.5660465167487587,0.8092413443602056
Ph-DIACz,O=P(O)(O)CCCn1c2ccccc2c2ccc3c4ccccc4n(-c4ccccc4)c3c21,19.396666666666665,high,3,0.8725292538181978,0.6795247057032479
3PACz,O=P(O)(O)CCCn1c2ccccc2c2ccccc21,16.7,middle,4,1.0317225822394465,0.783888583585733
Br-2EPO,O=P(O)(O)CCN1c2ccc(Br)cc2Oc2cc(Br)ccc21,17.21,middle,1,-0.7521089170657499,0.06772578431948215
Br-2EPT,O=P(O)(O)CCN1c2ccc(Br)cc2Sc2cc(Br)ccc21,17.46,middle,1,-0.7766735540661739,0.33205688093598973
Br-2EPSe,O=P(O)(O)CCN1c2ccc(Br)cc2[Se]c2cc(Br)ccc21,18.16,middle,2,-0.6884041731494475,0.07296041897631027
4Cl-PACz,O=P(O)(O)CCn1c2c(Cl)cc(Cl)cc2c2cc(Cl)cc(Cl)c21,17.5,middle,4,-0.3680970649966403,-0.8090467519751637
BPC-F,O=P(O)(O)CCn1c2cc(-c3ccc(F)cc3)ccc2c2ccc(-c3ccc(F)cc3)cc21,13.7,middle,2,1.0641252545862936,-1.6741091586665846
Ph-2PACz,O=P(O)(O)CCn1c2cc(-c3ccccc3)ccc2c2ccc(-c3ccccc3)cc21,18.38,middle,3,1.1213467414158829,-1.4413230281936724
2PAThCz,O=P(O)(O)CCn1c2cc(-c3ccsc3)ccc2c2ccc(-c3ccsc3)cc21,19.895,high,2,1.0984252780350077,-1.5580485273738416
"2,7-diBr-2PACz",O=P(O)(O)CCn1c2cc(Br)ccc2c2ccc(Br)cc21,17.345555555555553,middle,18,1.0138896091090386,-1.1723852044134995
"2,7-diCl-2PACz",O=P(O)(O)CCn1c2cc(Cl)ccc2c2ccc(Cl)cc21,15.225,middle,4,0.6457268126506639,-1.251627962395652
F-2PACz,O=P(O)(O)CCn1c2cc(F)ccc2c2ccc(F)cc21,17.7,middle,1,0.8421042677714958,-1.4477458211613565
I-2PACz,O=P(O)(O)CCn1c2cc(I)ccc2c2ccc(I)cc21,18.2,middle,1,0.9467993321066794,-1.456087425091246
Ph-Cz,O=P(O)(O)CCn1c2ccc(-c3ccccc3)cc2c2cc(-c3ccccc3)ccc21,18.51,high,1,1.0597879549336824,-1.101594642093339
Th-Cz,O=P(O)(O)CCn1c2ccc(-c3cccs3)cc2c2cc(-c3cccs3)ccc21,19.571428571428573,high,7,0.9813672787139636,-1.1277794503464458
Br-2PACz,O=P(O)(O)CCn1c2ccc(Br)cc2c2cc(Br)ccc21,17.725,middle,16,1.018556125998617,-0.7889502046631294
"2,6-diBr-2PACz",O=P(O)(O)CCn1c2ccc(Br)cc2c2ccc(Br)cc21,11.696666666666667,low,3,1.5386679753943333,-1.167904989597662
Cl-2PACz,O=P(O)(O)CCn1c2ccc(Cl)cc2c2cc(Cl)ccc21,18.234615384615385,middle,13,0.6104381804716031,-0.9188739988337336
"2,6-diCl-2PACz",O=P(O)(O)CCn1c2ccc(Cl)cc2c2ccc(Cl)cc21,17.36,middle,1,1.1224949049987707,-1.3083065772574658
Cz-I-2,O=P(O)(O)CCn1c2ccc(I)cc2c2ccc(I)cc21,17.85,middle,2,1.4180365728558917,-1.504629797215956
"4,5-Cl-2PACz",O=P(O)(O)CCn1c2cccc(Cl)c2c2c(Cl)cccc21,18.796666666666667,high,3,-0.07857826362474851,-0.7090739079966675
BZCz,O=P(O)(O)CCn1c2ccccc2c2c3ccccc3ccc21,18.7,high,1,0.9139444087869742,-0.44626082296502223
3-Br-2PACz,O=P(O)(O)CCn1c2ccccc2c2cc(Br)ccc21,17.333333333333332,middle,6,1.4580049030105264,-0.7194154858332505
1Cl-PACz,O=P(O)(O)CCn1c2ccccc2c2cc(Cl)ccc21,19.0,high,1,1.0498869574835128,-0.8493392800038547
2PACz-D1,O=P(O)(O)CCn1c2ccccc2c2cc3c(cc21)c1ccccc1n3CCP(=O)(O)O,19.44,high,1,1.2913316361295042,-1.0706210707016686
2-Br-2PACz,O=P(O)(O)CCn1c2ccccc2c2ccc(Br)cc21,19.515,high,2,1.4690585898453716,-0.9833024390242215
1CF3-2PACz,O=P(O)(O)CCn1c2ccccc2c2ccc(C(F)(F)F)cc21,17.39,middle,1,1.2470758337239711,-1.3327371524763294
1Cl-2PACz,O=P(O)(O)CCn1c2ccccc2c2ccc(Cl)cc21,19.575000000000003,high,2,1.1008957933869972,-1.0625451970063742
1F-2PACz,O=P(O)(O)CCn1c2ccccc2c2ccc(F)cc21,17.62,middle,1,1.2972732485078298,-1.2586630557720786
1I-2PACz,O=P(O)(O)CCn1c2ccccc2c2ccc(I)cc21,18.72,high,1,1.401968312843013,-1.267004659701968
2PACz,O=P(O)(O)CCn1c2ccccc2c2ccccc21,16.55982142857143,middle,112,0.8486955472080178,-0.8963730103971483
F5BnPA,O=P(O)(O)Cc1c(F)c(F)c(F)c(F)c1F,12.166666666666666,low,3,-2.1303653125477786,-0.40350656629891285
3FMBPA,O=P(O)(O)Cc1ccc(C(F)(F)F)cc1,3.82,low,1,-1.8630665308248646,-0.5820421837633035
BnPA,O=P(O)(O)Cc1ccccc1,16.15,middle,2,-1.7386557379931653,-0.2758060996689066
JJ37,O=P(O)(O)c1ccc(-n2c3cc(-c4ccccc4)ccc3c3ccc(-c4ccccc4)cc32)cc1,15.678,middle,5,-1.0004320769173398,-1.240407013631764
pPhPADCB,O=P(O)(O)c1ccc(-n2c3cc4ccccc4cc3c3c4ccccc4ccc32)cc1,17.4425,middle,4,-0.9964971642624143,-0.3270975695134697
p-PhACz,O=P(O)(O)c1ccc(-n2c3ccccc3c3ccccc32)cc1,18.3,middle,1,-1.3166673309210324,-0.7886255174875767
BPA,O=P(O)(O)c1ccc(Br)cc1,2.7,low,1,-2.3210153164587854,-0.46640755724776733
CPA,O=P(O)(O)c1ccc(Cl)cc1,2.6,low,1,-2.6719926236023173,-0.5268836412380676
p-DPAPCz,O=P(O)(O)c1ccc(N(c2ccccc2)c2ccccc2)cc1,17.38,middle,1,-2.5818699762557387,-0.4100591560089773
m-PhACz,O=P(O)(O)c1cccc(-n2c3ccccc3c3ccccc32)c1,19.44,high,1,-1.106224391101257,-0.7749403968614609
PPA,O=P(O)(O)c1ccccc1,1.64,low,1,-2.344818706128775,-0.4319285846254592
CBSC,O=S(=O)(Cl)c1ccc(Cl)cc1,8.95,low,2,-3.1737232782623472,-0.36405186462932615
CBSA,O=S(=O)(O)c1ccc(Cl)cc1,8.211111111111112,low,9,-3.1418704911239304,-0.39661479082017465
