source,target,split,nominal_coverage,z_value,empirical_coverage,coverage_gap,mean_half_width,n
calibrated,pce,test,0.5,0.6744897501960817,0.5189873417721519,0.01898734177215189,0.8540704617771043,79
raw,pce,test,0.5,0.6744897501960817,0.17721518987341772,-0.3227848101265823,0.27481257505990897,79
calibrated,pce,test,0.6827,1.0000217133229994,0.5822784810126582,-0.10042151898734175,1.2662742558157658,79
raw,pce,test,0.6827,1.0000217133229994,0.26582278481012656,-0.4168772151898734,0.40744658028416686,79
calibrated,pce,test,0.8,1.2815515655446008,0.7468354430379747,-0.05316455696202538,1.62276051942621,79
raw,pce,test,0.8,1.2815515655446008,0.3670886075949367,-0.4329113924050633,0.5221524651738368,79
calibrated,pce,test,0.9,1.6448536269514715,0.8607594936708861,-0.03924050632911391,2.0827905780892753,79
raw,pce,test,0.9,1.6448536269514715,0.43037974683544306,-0.46962025316455697,0.6701754336337293,79
calibrated,pce,test,0.95,1.9599639845400536,0.9367088607594937,-0.013291139240506289,2.4817980478665267,79
raw,pce,test,0.95,1.9599639845400536,0.5063291139240507,-0.4436708860759493,0.7985632835184643,79
