feature,target,score,signed_score
NumHeterocycles,ff,0.4859370317911366,0.4859370317911366
Bit_935,ff,0.46531322057928937,0.46531322057928937
Bit_121,ff,0.44043258385992273,0.44043258385992273
Bit_406,ff,0.4271500433429956,0.4271500433429956
Bit_971,ff,0.4271500433429956,0.4271500433429956
Bit_192,ff,0.4072635904430231,0.4072635904430231
Bit_486,ff,0.4072635904430231,0.4072635904430231
Bit_814,ff,0.4072635904430231,0.4072635904430231
Bit_605,ff,0.4031137838492407,0.4031137838492407
NumAromaticHeterocycles,ff,0.4008642549946494,0.4008642549946494
fr_NH0,ff,0.3949161349004712,0.3949161349004712
fr_bicyclic,ff,0.3863638708048108,0.3863638708048108
VSA_EState2,ff,0.37394402420813955,0.37394402420813955
SMR_VSA3,ff,0.3715531815529834,0.3715531815529834
fr_Ar_N,ff,0.37138972795712566,0.37138972795712566
SlogP_VSA2,ff,0.3538727020904892,0.3538727020904892
RingCount,ff,0.3523038660310063,0.3523038660310063
Bit_456,ff,0.34600767173811164,-0.34600767173811164
NumHDonors,ff,0.33830990846238357,0.33830990846238357
Bit_80,ff,0.3378828592018301,0.3378828592018301
NHOHCount,ff,0.32645569013131287,0.32645569013131287
NumAromaticRings,ff,0.3245626023066327,0.3245626023066327
Bit_802,ff,0.32025000093469264,0.32025000093469264
PEOE_VSA14,ff,0.3172232917084896,0.3172232917084896
Bit_333,ff,0.31532191814027644,0.31532191814027644
NOCount,ff,0.31384865373507537,0.31384865373507537
SAM_Solution_Concentration(mM),ff,0.3109527324183907,-0.3109527324183907
VSA_EState6,ff,0.30925014304038095,0.30925014304038095
fr_COO,ff,0.30443237038185605,-0.30443237038185605
fr_COO2,ff,0.30443237038185605,-0.30443237038185605
fr_C_O,ff,0.30443237038185605,-0.30443237038185605
Bit_45,ff,0.303015993644867,0.303015993644867
VSA_EState4,ff,0.3028697126771494,0.3028697126771494
fr_Ar_COO,ff,0.3001887074218099,-0.3001887074218099
SlogP_VSA6,ff,0.29523261357819397,0.29523261357819397
SlogP_VSA3,ff,0.2940253278201204,0.2940253278201204
SlogP_VSA8,ff,0.29390808038477595,0.29390808038477595
Spin_Coating,ff,0.2922014889084986,0.2922014889084986
Bit_361,ff,0.2886262215317107,-0.2886262215317107
fr_aryl_methyl,ff,0.28862543204649566,0.28862543204649566
Chi4v,ff,0.2862380656496674,0.2862380656496674
PEOE_VSA1,ff,0.28383763639888887,0.28383763639888887
TPSA,ff,0.2807427745671901,0.2807427745671901
Bit_106,ff,0.2776155262978034,-0.2776155262978034
BertzCT,ff,0.27341867203223824,0.27341867203223824
PEOE_VSA2,ff,0.2709291409918829,0.2709291409918829
Chi2v,ff,0.26955235820398254,0.26955235820398254
EState_VSA2,ff,0.2682326823523128,0.2682326823523128
SMR_VSA7,ff,0.26702386266073125,0.26702386266073125
Chi3v,ff,0.26701976600320737,0.26701976600320737
BCUT2D_LOGPHI,ff,0.26477754837512607,0.26477754837512607
Bit_46,ff,0.26442661762176123,-0.26442661762176123
NumAromaticCarbocycles,ff,0.26440190289717397,0.26440190289717397
fr_benzene,ff,0.26440190289717397,0.26440190289717397
VSA_EState5,ff,0.2633186060557292,0.2633186060557292
Chi4n,ff,0.2610460529064256,0.2610460529064256
AvgIpc,ff,0.26000351233186964,0.26000351233186964
Bit_673,ff,0.2579289351441741,-0.2579289351441741
Chi1v,ff,0.25640200939875546,0.25640200939875546
SPS,ff,0.2530549184602316,0.2530549184602316
BCUT2D_CHGHI,ff,0.2521394881780535,0.2521394881780535
Ipc,ff,0.25136484504947815,0.25136484504947815
Soak_Time,ff,0.2495418997947894,-0.2495418997947894
Chi3n,ff,0.24927364218453021,0.24927364218453021
MolMR,ff,0.24920245659055984,0.24920245659055984
UV-Ozone_Treatment_Time(min),ff,0.2484376530501504,0.2484376530501504
Chi0v,ff,0.2439023747214524,0.2439023747214524
BCUT2D_CHGLO,ff,0.24387065704987454,-0.24387065704987454
Chi2n,ff,0.24383547850715948,0.24383547850715948
Chi1n,ff,0.24032905390601514,0.24032905390601514
Soaking,ff,0.23815698654074596,-0.23815698654074596
SMR_VSA6,ff,0.23769064784900218,0.23769064784900218
LabuteASA,ff,0.23763344318288204,0.23763344318288204
HeavyAtomMolWt,ff,0.23366260715658244,0.23366260715658244
Chi0n,ff,0.23320607443204347,0.23320607443204347
Chi1,ff,0.23299498917787814,0.23299498917787814
ExactMolWt,ff,0.23168445151110525,0.23168445151110525
BalabanJ,ff,0.2313176145563056,-0.2313176145563056
MolWt,ff,0.23088391347480358,0.23088391347480358
HeavyAtomCount,ff,0.23069332589817804,0.23069332589817804
Chi0,ff,0.22989883020793955,0.22989883020793955
Bit_119,ff,0.22836388979662764,-0.22836388979662764
Bit_869,ff,0.22721560779075836,0.22721560779075836
Bit_816,ff,0.22215954949296765,-0.22215954949296765
PEOE_VSA3,ff,0.22204724517286134,-0.22204724517286134
HallKierAlpha,ff,0.22130255506914057,-0.22130255506914057
NumValenceElectrons,ff,0.22009730461412239,0.22009730461412239
EState_VSA8,ff,0.21839804010441546,0.21839804010441546
MaxAbsEStateIndex,ff,0.21275704033315296,0.21275704033315296
MaxEStateIndex,ff,0.21275704033315296,0.21275704033315296
Bit_114,ff,0.21208737596962046,-0.21208737596962046
Bit_313,ff,0.20720367512250065,0.20720367512250065
Bit_99,ff,0.20580753422244222,0.20580753422244222
Bit_715,ff,0.204812032329754,-0.204812032329754
PEOE_VSA13,ff,0.20468761940376173,-0.20468761940376173
Bit_294,ff,0.20087560419923997,-0.20087560419923997
BCUT2D_MWLOW,ff,0.20008092194042584,-0.20008092194042584
Bit_14,ff,0.19900394754092163,0.19900394754092163
SMR_VSA10,ff,0.19894696171740917,0.19894696171740917
Bit_367,ff,0.19874495891923113,-0.19874495891923113
Bit_64,ff,0.1976265912148613,0.1976265912148613
PEOE_VSA8,ff,0.197020012196745,0.197020012196745
Bit_72,ff,0.1936362334687964,-0.1936362334687964
MolLogP,ff,0.19291289756072455,0.19291289756072455
MaxAbsPartialCharge,ff,0.19268813722570974,-0.19268813722570974
Kappa1,ff,0.192493456147487,0.192493456147487
Bit_881,ff,0.19169297049896847,-0.19169297049896847
Bit_215,ff,0.19039206954801408,0.19039206954801408
Bit_356,ff,0.1895645642438598,0.1895645642438598
Bit_849,ff,0.1894660813639098,0.1894660813639098
VSA_EState9,ff,0.18581210723005115,-0.18581210723005115
Bit_714,ff,0.18340886568909842,0.18340886568909842
BCUT2D_LOGPLOW,ff,0.18186026718045678,-0.18186026718045678
Bit_319,ff,0.18168649487880603,-0.18168649487880603
Bit_350,ff,0.18168649487880603,-0.18168649487880603
Bit_452,ff,0.18168649487880603,-0.18168649487880603
Bit_650,ff,0.18003397012994196,0.18003397012994196
EState_VSA9,ff,0.17993842160017123,-0.17993842160017123
MinEStateIndex,ff,0.1792494879557583,-0.1792494879557583
SlogP_VSA7,ff,0.1721019925583183,-0.1721019925583183
Kappa2,ff,0.16901129248948235,0.16901129248948235
fr_thiophene,ff,0.16866880129617842,0.16866880129617842
Bit_984,ff,0.16846110584875607,0.16846110584875607
