rank,brics_fragment,log2_enrichment,high_count,high_total,low_count,low_total,high_frequency,low_frequency,frequency_difference
1,*CCCP(=O)(O)O,3.4594316186372973,5,33,0,33,0.15151515151515152,0.0,0.15151515151515152
2,*c1ccc2c3ccc(*)cc3n(*)c2c1,3.4594316186372973,5,33,0,33,0.15151515151515152,0.0,0.15151515151515152
3,*c1ccc2c(c1)c1cc(*)ccc1n2*,3.169925001442312,4,33,0,33,0.12121212121212122,0.0,0.12121212121212122
4,*CCCCP(=O)(O)O,2.5360529002402097,14,33,2,33,0.42424242424242425,0.06060606060606061,0.36363636363636365
5,*CCP(=O)(O)O,2.432959407276106,13,33,2,33,0.3939393939393939,0.06060606060606061,0.3333333333333333
6,*c1ccsc1,2.321928094887362,2,33,0,33,0.06060606060606061,0.0,0.06060606060606061
7,*n1c2ccccc2c2cc3ccccc3cc21,2.321928094887362,2,33,0,33,0.06060606060606061,0.0,0.06060606060606061
8,*n1c2ccccc2c2ccc(Br)cc21,2.321928094887362,2,33,0,33,0.06060606060606061,0.0,0.06060606060606061
9,*c1ccccc1,1.584962500721156,4,33,1,33,0.12121212121212122,0.030303030303030304,0.09090909090909091
