repeat,full_mse,context_permuted_mse,molecular_permuted_mse,both_permuted_mse,interaction_mse
1,2.5866863431320506,11.20957042401869,3.715310711778732,12.490043868742024,0.15184907607665288
2,2.5866863431320506,10.129765372740588,3.915687725094577,13.374800190813186,1.9160334361100722
3,2.5866863431320506,9.330279556902568,4.187962774753343,13.657773793135142,2.726217804611282
4,2.5866863431320506,9.16979593269725,3.8948928401712095,9.706775038105473,-0.7712273916309358
5,2.5866863431320506,11.415973611938911,5.1199889175911,11.849311411811119,-2.099964774586842
6,2.5866863431320506,11.172139522455144,5.499124201877449,13.301263959360726,-0.7833134218398157
7,2.5866863431320506,8.740951544668485,4.095698252788726,9.29750600180066,-0.9524574525245009
8,2.5866863431320506,11.302472251836608,4.0374165615323045,13.196133524906042,0.4429310546691796
9,2.5866863431320506,10.655207355364611,3.7028277687735267,10.547457777212882,-1.2238910037932054
10,2.5866863431320506,13.549613555325509,3.58762437538804,15.055975737720487,0.5054241501389889
11,2.5866863431320506,9.54970894565486,3.8377961073765734,12.232982293830554,1.4321635839311715
12,2.5866863431320506,11.454462703323712,3.9383091129262033,11.799187970763876,-1.0068975023539881
13,2.5866863431320506,8.04601069416305,3.61815102548461,8.590520371909696,-0.48695500460591346
14,2.5866863431320506,9.86215025873807,4.020499688941884,11.15815393470201,-0.1378096698458937
15,2.5866863431320506,9.425124045928658,4.466318743175824,10.465044298215782,-0.8397121477566505
16,2.5866863431320506,4.631732452487981,3.94214335935724,7.112970623358362,1.1257811546451917
17,2.5866863431320506,12.761415190433569,3.7263577345652323,14.080566728306811,0.17948014644006083
18,2.5866863431320506,12.497948387772004,4.089918389136788,12.04900137310878,-1.952179060667961
19,2.5866863431320506,10.530282037321177,4.3284625935418,13.453802821795419,1.1817445340644928
20,2.5866863431320506,14.435084380072102,3.9269626151555044,13.14995134359063,-2.6254093085049264
21,2.5866863431320506,11.384007950315887,3.9553357716830058,14.733192941136224,1.9805355622693819
22,2.5866863431320506,9.21682056246562,3.5774286449039994,10.998814515289219,0.7912516510516507
23,2.5866863431320506,9.91109080755829,3.5555280440708263,12.282099219005381,1.4021667105083155
24,2.5866863431320506,10.044175196237001,3.9634381992572334,11.258031560433805,-0.1628954919283787
25,2.5866863431320506,12.881972113729807,4.685075542579858,12.609598568946733,-2.370762744230881
26,2.5866863431320506,11.520657941301883,3.5891475594540863,12.797352822793474,0.27423366516955605
27,2.5866863431320506,12.029721349304536,3.704986652026284,12.701045243851734,-0.44697641434703517
28,2.5866863431320506,10.256471778764379,3.1246483377325247,10.954682534611383,0.16024876124652998
29,2.5866863431320506,11.846786586689156,4.351587609283182,15.29662721439985,1.6849393615595631
30,2.5866863431320506,11.845125586262652,4.901313970789465,12.602833670198406,-1.5569195437216607
31,2.5866863431320506,10.331197052352312,5.216853733346685,11.46924260634156,-1.4921218362253872
32,2.5866863431320506,8.004909155265976,3.6013000876545553,9.930114268774656,0.9105913689861751
33,2.5866863431320506,11.104801605547522,3.657710251460656,11.668435348362728,-0.5073901655133994
34,2.5866863431320506,11.491072102286982,4.5899647127793335,12.391716950867265,-1.1026335210669997
35,2.5866863431320506,12.092670929978464,4.1096206115710086,14.475587824992791,0.8599826265753694
36,2.5866863431320506,10.720888839644994,3.727171010862756,12.308345554853236,0.44697204747753716
37,2.5866863431320506,9.087006407836686,5.173127963837378,12.052407254361865,0.3789592258198522
38,2.5866863431320506,9.62561626354418,5.2291432475902395,11.663131096515894,-0.6049420714864744
39,2.5866863431320506,13.95413345778185,5.432373915030485,16.1129108296716,-0.6869102000086866
40,2.5866863431320506,12.129477098483111,5.564675864878016,12.687766098822111,-2.419700521406965
41,2.5866863431320506,11.927568785678801,4.732889910859774,11.22432411657069,-2.8494482368358347
42,2.5866863431320506,10.285948653549958,3.445846426428978,11.475493644059402,0.3303849072125158
43,2.5866863431320506,13.578127623917245,3.581796080612502,16.11028680120425,1.537049439806553
44,2.5866863431320506,13.707604301897065,5.721476838077286,14.65773052920967,-2.18466426763263
45,2.5866863431320506,11.472128438767616,3.7562427784608223,11.92052318321197,-0.7211616908844181
46,2.5866863431320506,12.40612687890847,3.1763414614519365,11.489082442493338,-1.5066995547350186
47,2.5866863431320506,6.829579406865958,3.8298578177827833,7.7704605779980485,-0.30229030351864195
48,2.5866863431320506,11.673376923148918,3.2879157317118115,10.382880855954085,-1.9917254557745943
49,2.5866863431320506,8.823637221389829,4.784957969896938,7.775252639049879,-3.2466562091048377
50,2.5866863431320506,11.937971663522665,5.440633533573165,13.119583519192053,-1.6723353347717267
51,2.5866863431320506,10.80619224887624,3.8967897941068177,11.896979011034924,-0.2193166888160829
52,2.5866863431320506,14.196974147445307,3.957966755367631,12.820547600285183,-2.7477069593957038
53,2.5866863431320506,10.77361948586323,3.7385670385963494,11.305504615366724,-0.6199955659608056
54,2.5866863431320506,9.882273178596792,5.296214606097214,13.038679537992724,0.4468780964307686
55,2.5866863431320506,11.714272309610887,5.364061540100828,14.703199507102111,0.21155200052244671
56,2.5866863431320506,10.456815786625047,3.9939072931113087,11.075367962519882,-0.7886687740844223
57,2.5866863431320506,7.74686517414207,3.92589371122868,9.774887234115964,0.6888146918772642
58,2.5866863431320506,9.318223480381619,4.691329911488883,10.863651562123243,-0.5592154866152081
59,2.5866863431320506,8.42173650663405,3.7726952559651874,10.927691890372387,1.3199464709052005
60,2.5866863431320506,11.765187028640128,4.080424904279275,12.249190398446316,-1.009735191341036
61,2.5866863431320506,12.045636686868265,3.329797169333757,10.33768494558217,-2.4510625674878015
62,2.5866863431320506,11.178770175198746,5.2721604187853455,13.87789653591741,0.013652285065368641
63,2.5866863431320506,11.076476702803223,4.369589641411799,16.31354700330028,3.4541670022173077
64,2.5866863431320506,10.887255025278302,3.373237609755731,11.107034612547153,-0.566771679354829
65,2.5866863431320506,9.49778845893191,4.142711420522228,11.258721718275618,0.20490818195353144
66,2.5866863431320506,9.72038067765498,3.797567980369445,10.958539386970402,0.02727707207802821
67,2.5866863431320506,12.122753490036704,4.162203064896317,11.601123226386425,-2.0971469854145446
68,2.5866863431320506,9.794246793433398,3.970906378996961,15.005891591172169,3.82742476187386
69,2.5866863431320506,12.808572745403266,4.222947936664459,14.019633103568609,-0.4252012353670662
70,2.5866863431320506,11.634298816770963,4.023303243043244,12.5349455643824,-0.5359701522997553
71,2.5866863431320506,10.615306420550159,3.6552980023967234,11.487354583780094,-0.1965634960347371
72,2.5866863431320506,8.672726526533099,3.760103666660765,10.482915992607746,0.6367721425459325
73,2.5866863431320506,11.808312665418706,4.436712138722353,14.37589540301356,0.7175569420045522
74,2.5866863431320506,10.97232743547794,4.553861194978801,13.338747763939484,0.3992454766147939
75,2.5866863431320506,12.013624400149697,4.390352605987135,15.797084976086845,1.9797943130820639
76,2.5866863431320506,12.035182363679402,5.080328640078733,11.346427810029128,-3.1823968505969558
77,2.5866863431320506,12.946269301458235,4.3768838987537295,16.195632288762503,1.4591654316825893
78,2.5866863431320506,10.11878848002654,3.8426469031795056,11.780420867263295,0.4056718271893005
79,2.5866863431320506,14.012393785306605,3.6905172773235733,13.671572311640157,-1.4446524078579714
80,2.5866863431320506,10.167074263030907,4.175437407868599,11.767935952286008,0.012110624518552715
81,2.5866863431320506,14.170610969797893,4.160966447250101,17.071134179895434,1.3262431059794904
82,2.5866863431320506,9.64927445202889,3.701368594906404,10.364112565872118,-0.39984413793112505
83,2.5866863431320506,11.537425167407305,4.145998943663311,12.226206708157681,-0.8705310597808835
84,2.5866863431320506,13.002896267176572,5.37532650169509,14.829638339253613,-0.961898086485999
85,2.5866863431320506,12.707034316614205,3.8466876112613217,11.199801447615508,-2.7672341371279683
86,2.5866863431320506,10.24839992457922,4.005014021002652,11.219308218697453,-0.4474193837523681
87,2.5866863431320506,12.14665940038653,3.74302413654603,11.727090563618358,-1.575906630182152
88,2.5866863431320506,11.397900362592187,3.7725560777780975,10.647396629890322,-1.9363734673479125
89,2.5866863431320506,7.682959650796766,3.8692929263259406,8.646584836773327,-0.3189813972173292
90,2.5866863431320506,9.547317321790194,4.9366090005644105,10.670592484530838,-1.2266474946917163
91,2.5866863431320506,13.24167139903087,3.6552154652278395,15.098758368733412,0.7885578476067523
92,2.5866863431320506,12.633878827556536,3.98894387574727,12.565978079376707,-1.4701582807950486
93,2.5866863431320506,9.289784768326044,4.200591153189393,13.023554686906312,2.119865108522926
94,2.5866863431320506,13.244448156938892,4.136930011316082,14.70884168715625,-0.08585013796667385
95,2.5866863431320506,11.946012951136753,3.0360482800835853,10.164604178517347,-2.230770709570941
96,2.5866863431320506,10.236109607524224,3.1548169432953266,11.307396066258233,0.5031558585707336
97,2.5866863431320506,13.058704496319539,3.9114974980973303,14.542659903120576,0.15914425183575753
98,2.5866863431320506,9.521289746941614,5.4314139525722105,10.151307212361406,-2.214710144020368
99,2.5866863431320506,6.95994762999067,3.8581359884114526,10.668239935549693,2.4368426602796207
100,2.5866863431320506,10.499090721478474,4.297171636617108,11.51573808131398,-0.6938379336495513
