variant,epoch,train_loss,val_score_norm_rmse,lr,smiles_pretraining_loaded
tabular_only,1,4.72386459779989,0.9049514532089233,0.00035,False
tabular_only,2,3.2607678680519783,0.7286679744720459,0.00035,False
tabular_only,3,2.5765800089112125,0.6877523064613342,0.00035,False
tabular_only,4,2.3668938569373483,0.6425811052322388,0.00035,False
tabular_only,5,2.4259342860176925,0.645165205001831,0.00035,False
tabular_only,6,2.292749826820733,0.6263391971588135,0.00035,False
tabular_only,7,2.2185842266881655,0.6261079907417297,0.00035,False
tabular_only,8,2.1616408313132083,0.6265800595283508,0.00035,False
tabular_only,9,2.1873672258167365,0.6329692006111145,0.00035,False
tabular_only,10,2.0672320945100635,0.6239983439445496,0.00035,False
tabular_only,11,1.9077652411935218,0.6553640961647034,0.00035,False
tabular_only,12,1.825638951119328,0.6029309034347534,0.00035,False
tabular_only,13,1.7623321223633452,0.5845698714256287,0.00035,False
tabular_only,14,1.66037253715605,0.5966806411743164,0.00035,False
tabular_only,15,1.4747927282493152,0.6139225959777832,0.00035,False
tabular_only,16,1.503970759077222,0.594799280166626,0.00035,False
tabular_only,17,1.3133941196022234,0.6121065616607666,0.00035,False
tabular_only,18,1.2389164052084478,0.558506429195404,0.00035,False
tabular_only,19,1.2363676706533782,0.5990994572639465,0.00035,False
tabular_only,20,1.1678823625854173,0.6060692071914673,0.00035,False
tabular_only,21,1.2124329774167526,0.5688199400901794,0.00035,False
tabular_only,22,1.1036122500584387,0.5804510116577148,0.00035,False
tabular_only,23,1.0096865246433238,0.5398223996162415,0.00035,False
tabular_only,24,0.9613713537835326,0.5380597710609436,0.00035,False
tabular_only,25,0.8815530875590459,0.49660173058509827,0.00035,False
tabular_only,26,0.9345295073474265,0.5376248955726624,0.00035,False
tabular_only,27,0.8217492730829729,0.5435347557067871,0.00035,False
tabular_only,28,0.768811028665273,0.5356640815734863,0.00035,False
tabular_only,29,0.9354882599171543,0.6815371513366699,0.00035,False
tabular_only,30,0.8189001205079842,0.512064516544342,0.00035,False
tabular_only,31,0.7359959632938445,0.5487239360809326,0.00035,False
tabular_only,32,0.641202568071675,0.519127607345581,0.000175,False
tabular_only,33,0.5610228438339933,0.5216094255447388,0.000175,False
tabular_only,34,0.4513106311803089,0.5178434252738953,0.000175,False
tabular_only,35,0.44617162605854854,0.5247480869293213,0.000175,False
tabular_only,36,0.411681566250886,0.5139201879501343,0.000175,False
tabular_only,37,0.3362010433411723,0.5477845668792725,0.000175,False
tabular_only,38,0.35120381469501877,0.503876805305481,0.000175,False
tabular_only,39,0.3678562266664355,0.5071192383766174,8.75e-05,False
tabular_only,40,0.30295947709008664,0.5139524936676025,8.75e-05,False
tabular_only,41,0.2685183403691696,0.5191038250923157,8.75e-05,False
tabular_only,42,0.28705515817821964,0.49089550971984863,8.75e-05,False
tabular_only,43,0.21045388772849638,0.5072401165962219,8.75e-05,False
tabular_only,44,0.21478497775281288,0.5182909965515137,8.75e-05,False
tabular_only,45,0.1809509916923433,0.5046995878219604,8.75e-05,False
tabular_only,46,0.13559416981891811,0.49845975637435913,8.75e-05,False
tabular_only,47,0.1368059007285153,0.5162909626960754,8.75e-05,False
tabular_only,48,0.13809596357077203,0.4996475279331207,8.75e-05,False
tabular_only,49,0.13895637998406177,0.5219783186912537,4.375e-05,False
tabular_only,50,0.10968044802000386,0.50398188829422,4.375e-05,False
tabular_only,51,0.08582842162766381,0.5096908807754517,4.375e-05,False
tabular_only,52,0.08329451267475857,0.5092786550521851,4.375e-05,False
tabular_only,53,0.07155322989556177,0.5079020857810974,4.375e-05,False
tabular_only,54,0.08259425659454306,0.5053877234458923,4.375e-05,False
tabular_only,55,0.05361972191414908,0.4919690191745758,4.375e-05,False
tabular_only,56,0.05280792619545422,0.5010676980018616,2.1875e-05,False
tabular_only,57,0.03069686008061414,0.504865288734436,2.1875e-05,False
tabular_only,58,0.03090936429213479,0.5053787231445312,2.1875e-05,False
tabular_only,59,0.06025496819568554,0.5028085708618164,2.1875e-05,False
tabular_only,60,0.017063878866702475,0.49963000416755676,2.1875e-05,False
tabular_only,61,0.018294603841779118,0.49809905886650085,2.1875e-05,False
tabular_only,62,0.03119207532462025,0.4958004951477051,2.1875e-05,False
