descriptor,high_mean,low_mean,raw_shift,standardized_shift
Ring count,4.484848484848484,1.3333333333333333,3.1515151515151514,1.834058371506396
Aromatic rings,4.363636363636363,1.3333333333333333,3.0303030303030303,1.8082587697244406
P atoms,1.0606060606060606,0.36363636363636365,0.6969696969696969,1.5297780170236568
Heavy atoms,28.242424242424242,17.0,11.242424242424242,1.363482300949927
MolWt,419.825484848485,273.9641515151515,145.8613333333335,1.213025409315883
LogP,5.523439393939398,3.3607903030303037,2.1626490909090945,1.0465432799245398
N atoms,1.1515151515151516,0.45454545454545453,0.696969696969697,1.0800113313929296
TPSA,68.4209090909091,46.32545454545454,22.095454545454565,1.0503519657592988
O atoms,3.3333333333333335,2.303030303030303,1.0303030303030303,0.924923690482826
HBA,1.6363636363636365,1.5151515151515151,0.12121212121212133,0.13616529523646786
HBD,2.121212121212121,1.4545454545454546,0.6666666666666665,0.8692580883850103
F atoms,0.09090909090909091,1.5454545454545454,-1.4545454545454546,-0.7943814547001872
FractionCSP3,0.15315052753695518,0.3066378066378066,-0.15348727910085141,-0.7147810894525316
